NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N
Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Município (Código),Município,Variável (Código),Variável,Ano (Código),Ano
6,Município,40,Mil Reais,89801,1503002,Faro - PA,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,566641,1503044,Floresta do Araguaia - PA,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,314533,1503077,Garrafão do Norte - PA,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,522757,1503093,Goianésia do Pará - PA,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,398199,1503101,Gurupá - PA,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,499455,1503200,Igarapé-Açu - PA,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,818860,1503309,Igarapé-Miri - PA,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,201526,1503408,Inhangapi - PA,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,607747,1503457,Ipixuna do Pará - PA,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,317600,1503507,Irituia - PA,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,3757070,1503606,Itaituba - PA,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,889870,1503705,Itupiranga - PA,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,657775,1503754,Jacareacanga - PA,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,658642,1503804,Jacundá - PA,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,1294172,1503903,Juruti - PA,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,525619,1504000,Limoeiro do Ajuru - PA,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,422738,1504059,Mãe do Rio - PA,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,110101,1504109,Magalhães Barata - PA,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,12233453,1504208,Marabá - PA,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,310995,1504307,Maracanã - PA,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,297450,1504406,Marapanim - PA,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,2475913,1504422,Marituba - PA,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,979333,1504455,Medicilândia - PA,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,270905,1504505,Melgaço - PA,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,381653,1504604,Mocajuba - PA,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,1537609,1504703,Moju - PA,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,464580,1504752,Mojuí dos Campos - PA,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,1063686,1504802,Monte Alegre - PA,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,395396,1504901,Muaná - PA,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,274260,1504950,Nova Esperança do Piriá - PA,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,202161,1504976,Nova Ipixuna - PA,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,167479,1505007,Nova Timboteua - PA,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,1280247,1505031,Novo Progresso - PA,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,1233474,1505064,Novo Repartimento - PA,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,982930,1505106,Óbidos - PA,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,454247,1505205,Oeiras do Pará - PA,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,1802512,1505304,Oriximiná - PA,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,231549,1505403,Ourém - PA,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,1778205,1505437,Ourilândia do Norte - PA,37,Produto Interno Bruto a preços correntes,2022,2022
